ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Herrero_Jauregui_et_al_2013;Peru;Piponiot_et_al_2019;Suriname;Venezuela;number_individuals_ATDN_plots;number_plots_ATDN_plots;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check ITTO_commercial_spp;check ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP 8.5;2050_RCP 2.6_2050_IGS;2050_RCP 2.6_2050_BAU;2050_RCP 8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
155;Cassia moschata;Fabaceae;Cassia;Kunth;http://www.tropicos.org/Name/13028253;tree;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;8;6;2979525;6;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
156;Cassia spruceana;Fabaceae;Cassia;Benth.;http://www.tropicos.org/Name/13028440;tree;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;99;41;55227837;8;NA;NA;0;NA;NA;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
157;Catostemma commune;Malvaceae;Catostemma;Sandwith;http://www.tropicos.org/Name/3900575;tree;NA;NA;NA;NA;NA;1;1;NA;NA;NA;1;899;57;225276314;8;NA;NA;0;NA;1;Least Concern;2019;NA;NA;VU;EN;VU;VU;EN;EN;GS;NA;NA
158;Catostemma fragrans;Malvaceae;Catostemma;Benth.;http://www.tropicos.org/Name/3900578;tree;NA;NA;NA;NA;NA;1;NA;NA;1;1;NA;2518;106;474553860;9;1;2;0.32;NA;NA;Least Concern;2019;NA;VU;EN;CR;EN;CR;CR;CR;GS;NA;NA
159;Cecropia concolor;Urticaceae;Cecropia;Willd.;http://www.tropicos.org/Name/21300055;tree;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;281;66;133023934;8;NA;NA;0;NA;NA;Least Concern;2020;VU;VU;VU;EN;EN;CR;EN;CR;SA;NA;NA
160;Cecropia peltata;Urticaceae;Cecropia;L.;http://www.tropicos.org/Name/21300477;tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;161;23;43146064;8;NA;NA;0;NA;NA;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
161;Cecropia sciadophylla;Urticaceae;Cecropia;Mart.;http://www.tropicos.org/Name/21300109;tree;NA;NA;NA;1;NA;NA;NA;NA;1;1;NA;2169;428;607026864;9;1;4;0.15;NA;NA;Least Concern;2020;NA;VU;VU;VU;VU;VU;VU;EN;CA;NA;NA
162;Cedrela angustifolia;Meliaceae;Cedrela;Sess<e9> & Moc. ex DC.;http://www.tropicos.org/Name/20400040;tree;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;Vulnerable;2021;VU;EN;CR;CR;CR;CR;CR;CR;WAS;1;III
163;Cedrela fissilis;Meliaceae;Cedrela;Vell.;http://www.tropicos.org/Name/20400355;tree;1;1;NA;NA;NA;NA;1;1;NA;NA;NA;122;49;35704531;8;NA;NA;0;NA;NA;Vulnerable;2018;VU;VU;EN;CR;CR;CR;CR;CR;SA;1;III
164;Cedrela odorata;Meliaceae;Cedrela;L.;http://www.tropicos.org/Name/20400353;tree;1;1;1;NA;1;1;1;1;1;1;NA;240;151;106903183;8;NA;NA;0;1;NA;Vulnerable;2017;NA;VU;VU;VU;VU;EN;EN;EN;GS;1;II 
